Sentence,Predicted Label,Reasoning
"through the Computer Aided Design Service, and so on—to persuade machine tool manufacturers to adopt the latest technologies and so increase their productivity.",0,The phrase refers to traditional mechanical hardware used in industrial manufacturing rather than computing devices.
"General Register Office will have the exclusive use of its own computer at its census office, and as this is the type of machine with which it is already familiar",1,The word refers directly to a computer used for census data processing.
"they dictated the amount of work to be done by either man or machine, and they also dealt with questions of overtime and piecework, and the discharge of non-union men.",0,The term broadly refers to mechanical industrial equipment used as a substitute for manual human labor.
Has the hon. Gentleman's Department discovered any machine yet for measuring noise?,1,This refers to a specialized technological instrument engineered for acoustic measurement.
"and with the present administrative machine I would think almost impossible, but there is no reason why, when we have the proper computer facilities",0,The word is used metaphorically to describe a bureaucratic or organizational system rather than physical hardware.
"If a computer-driven system crashes or there is no money in the cash machine, what happens to the pensioners or people on benefit?",1,"A cash machine is an automated teller machine (ATM), which functions as a computerized technological device."
"We are starting to make computer-controlled machine tools that are suitable for export. Back in 1979, machine tools were manually operated and few were run by computer. That is the world in which we are operating.",1,The text explicitly specifies that these industrial tools are controlled and run by computing technology.
"Early in the fight the pilot was killed; the machine stalled, and he fell out, but the observer, with his very crude dual control",0,The term is used in an aviation context as a synonym for an aircraft or mechanical vehicle.
I believe that there must be an examination of the basis of the negotiating machine inside the railway industry,0,The word is used metaphorically to represent an administrative or procedural framework.
"Wullie, I can understand you supporting the Soviet Union, but surely you do not defend the Soviet airmen machine-gunning refugees.",0,The word forms part of a compound verb describing an attack with a mechanical firearm.
"Here is a new pilot being put in charge of a delicate and complicated machine, or a series of complicated machines",0,In this aviation context the word describes the mechanical systems of an aircraft.
"bicycles replacing horses for scouting purposes, I am convinced that the bicycle is a machine of very limited use: It is only useful for tracks and highways, and",0,The term describes a bicycle which is a purely mechanical vehicle and unrelated to computing technology.
A denial of service attack occurs when a deliberate attempt is made to stop a machine performing. Usually another computer is made to create large amounts of specious traffic.,1,The word specifically describes a computer or server connected to a network that is targeted by a cyber attack.
"it, as we gather it is being prepared for, in the provision of machine guns and tanks and all such things as that, for the miners and other",0,The word is used in a military context to describe an automatic firearm.
"That is one whole machine, it is not a separate machine. The printer is part of the computer hardware which will not work with anything other than the computer. Therefore the data go into the computer and come out in a computerised form.",1,The term directly refers to computer hardware and its integrated technological peripherals.
"whereas we had only two or three machine guns, and had to have 100 men to do the work that one machine gun would do.",0,This refers to a mechanical weapon used in combat instead of a computing device.
"in the last quarter of the 20th century, in the days of the computer, the micro-chip and so on, it is past the wit of man to invent a simple little machine which can record what has been said in a room",1,The word refers to an electronic audio recording device situated alongside computing and micro-chip technologies.
"There are two kinds of machines: There is the human machine and the shop machine, and while the shop machine is claiming relief to the whole extent, we",0,The text contrasts a biological metaphor with heavy mechanical factory equipment.
"Typing is the bridge between man and the modern machine, and particularly between man and the computer",1,The word is explicitly paralleled with the computer to refer to modern technological devices requiring typed input.
"You should also provide your Militia and Volunteers with machine guns, and not old muzzle-loaders.",0,The term designates an automatic military firearm.
During the late war we had to import a large number of machine tools from the United States of America and I heard men in the workshops say when those machine tools were erected,0,It describes mechanical equipment used in industrial manufacturing during a wartime era.
It would need a calculating machine or an electronic computer to produce answers to all the various combinations of questions that could be asked with extreme detail.,1,The word refers to a technological device built to perform complex mathematical computations.
